cocktail_no,url
76,https://iba-world.com/wp-content/uploads/2021/02/IBA-NE-19-Spicy-Fifty-1.jpg
77,https://www.liquor.com/thmb/1ZharnCZtEmyUkKfEm8dh07MV8g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/aperol-spritz-720x720-primary-985457b239d7427da2f8b4be17131caa.jpg
78,https://preppykitchen.com/wp-content/uploads/2021/01/espresso-martini-recipe.jpg
79,https://www.acouplecooks.com/wp-content/uploads/2021/03/Yellow-Bird-Cocktail-004.jpg
80,https://cdn.diffords.com/contrib/stock-images/2018/5/22/2018ba1b2e589134a2fa2b0021abdd2a8e20.jpg
81,https://iba-world.com/wp-content/uploads/2021/02/IBA-NE-09-Illegal.jpg
82,https://cocktail-society.com/wp-content/uploads/2021/09/Canchanchara-cocktail.jpg
83,https://assets-prd.punchdrink.com/wp-content/uploads/2021/06/15160819/Social-Modern-Classic-Cocktail-Recipe-Tommys-Margarita.jpg
84,https://www.liquor.com/thmb/xTsbvIAPl6xPmec2w4QfjdhDH40=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/trinidad-sour-720x720-primary-3f971bb52a2645569465fd4f99320352.jpg
85,https://iba-world.com/wp-content/uploads/2021/02/IBA-NE-22-Tipperary.jpg
86,https://cdn.loveandlemons.com/wp-content/uploads/2020/04/paloma.jpg
87,https://www.winemag.com/wp-content/uploads/2022/10/10_22_The_Penicillin_Cocktail_HERO_GettyImages_1398262060_1920x1280.jpg
88,https://iba-world.com/wp-content/uploads/2021/02/IBA-NE-07-Fernandito.jpg
89,https://www.liquor.com/thmb/JHYqlZiH5R0pbhUQCIho5QTxC6Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/paper-plane-720x720-primary-3e0b79b1d81c4e7e8f017093d4b27f12.jpg
90,https://www.acouplecooks.com/wp-content/uploads/2020/07/French-Martini-001.jpg
91,https://bakeitwithlove.com/wp-content/uploads/2022/07/Pina-Colada-Mocktail-sq.jpg
92,https://www.simplejoy.com/wp-content/uploads/2022/01/shirley-temple.jpg
93,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_COCK_MASTER/70.Roy%20Rogers.jpg
