url,cocktail_no
https://w.namu.la/s/9395988ea1b664fd37ab7e09abd7213270799eab87d1e647a069b444b006321e9472ac92ea774b6ed4b0d1290fd8a921736fe3a8c3f12e8d63174c7dbf59f09577dd0bbe59cdf7549335a0cc5e12b2892bba9e9f908e5c58f9da7399b308ae3e2a0304415f7e61f7a5412f19c199db82,40
https://w.namu.la/s/a2add171e7c36fb5ff63ba939a74a23ce213686cddaf6aa29eb58be0c39945c6cb19c04a83751621609ab79d76dc30cd98d6f7878a74f0259ccf5d440c5f35c04bd34dbc9051cf2ca9faa5bf24ca25c842d140a00ac50f602214ba0c887d5819bc8afb1233ac7b6de166d6db1954db8d,41
https://w.namu.la/s/c255b9a0ad0a41386f8267f8272139faa82dc11c9b79b78db2f3774cd3fbede84c1406d75c225507f203ce7ba38097c17de400e4d0324f4218108558130a2435146edba539cc74f05ce603316d0933b85cc4874d07aee0e4c49d786daf2eea67eb70c9c4f68cc0d78e8b8802b7e20321,42
https://w.namu.la/s/699fd73a4ba18e19ef9deec9b9e202eec8c9c2685643eb3d951243c159b7afc454cb994ac15ebd9372ca2ac03fe5665752292978341a43a16b35f4d30d41cb81f5b49cc17aa515f3c29c4f7a700cf9eff5e4f4586e5cd0c40546b060ddc966c6d74876047702b3a475b6148b9a7bd0c2,43
https://w.namu.la/s/00876186aa973cf5cef07ec7000e7060263e965be829b8f554b4f3cc6ca18d402c53bfd1e33ec878c3687659265ec3aae17fab91c313d489965b2897d0a4a77fbd6e93c7ee0c6319f916369ec48fa6288ea05d87037392c24f1a0c2bf0fa7bd4,44
https://w.namu.la/s/5b2c1c4e1c67c9c07f0ac3ccadbb1f4f8ff912ab211575375a0c1db6bb38adcb27f802a54588e48ff6a2ec5aeb8eb9bacbcca5b2046240996b520a95e9b7c3d5b6224b844c670c69c3f8d2efe4b86bec4f6dbcdee5df53291cce5c02737f111c,45
https://w.namu.la/s/11cc356e3c1dc51471ec972952394ce95c1d5e48e88595fb77df2cdc7f1465e0864b65a0e13a88ec51c489b6968bdf1e6d20f484b2e9c301cef9aafcd32450743556e9eccc7848c181bf1a0307de976cedf4f19c65b036e3239e8d205532b5698e2eaa06713baadbf4efcfc4e35c02a5,46
https://w.namu.la/s/091225a259d82c808da9dea5fcdc7990c64f040d4dd4ae15fa81918581a59f204f6bad86d2ec1bc61d44516b441c43e161e46c0c998af5e5e91e737676d7be1f61f0df9bf208b9eb126405b39b4e4ff0c6e7981ce600a69c0c9ec85d34983729,47
https://w.namu.la/s/5385d973eed9d2a62f1d415f19d775b61906277f832166543e6838e0a86598430332be8b649c5f57ed4ba112b13b3482d613f826d27b43d0c249a7b495757b3551376e6f004b6ea628f0bae622f404591ea105169686c5c4f667d918837df2b3,48
https://w.namu.la/s/dafa5e15a340a247d3c08baade4fed596b0f433c332d4a1b1ef05a1ce15c449fa38bbf9cf95746260ad778fc521e8d134ff8a78f7a927c5c42370088442fd80c2cd2625c1ab6101d035c6b9696bd80c51a0a988a6f408094578ba81656444a67,49
